endTime,artistName,trackName,msPlayed
2020-10-29 18:05,Wild Child,Going In,161324
2020-10-29 18:08,Joseph & Maia,Sleep,167000
2020-10-29 18:11,Gillian Welch,Rambling Blade,165293
2020-10-29 18:15,Robert John Ardiff,People Talking,236075
2020-10-29 18:18,William Fitzsimmons,Fortune - Acoustic,228013
2020-10-29 18:22,Joshua Burnside,Blood Drive,234326
2020-10-29 19:52,Brandon Jenner,Burning Ground,92533
2020-10-29 19:57,"Oh, Hello: the P'dcast",Oliver!,291671
2020-10-29 21:30,"Oh, Hello: the P'dcast",I Shall Scream,94529
2020-10-29 21:34,William Carter Band,Peace,193774
2020-10-29 21:37,The Red Robin Quartet,In A Mellow Tone,215019
2020-10-29 21:42,Alexander Martin Jazz Trio,Never Let Me Go,258919
2020-10-29 21:46,Laurie Sharon Quartet,Stars Fell on Alabama,281400
2020-10-29 21:49,Louis Silva Band,Love Is a Many-Splendored Thing,163378
2020-10-29 21:54,Tenille Taylor Quartet,Here's That Rainy Day,277582
2020-10-29 21:59,Gustav Scheringer Duo,Very Early,304500
2020-10-29 22:02,Phillip Love,Night and Day,210930
2020-10-29 22:07,The Blue Room Band,Emily,293970
2020-10-29 22:11,The Stilltones,Julia,232832
2020-10-29 22:14,Foster Davies,The Fairies,180470
2020-10-29 22:18,Rossdale Junction,Sleeper,225546
2020-10-29 22:21,Trio X of Sweden,I hoppet sig min frälsta själ förnöjer (Hope Gives Rest to My Redeemed Soul),190813
2020-10-29 22:24,Tom Bates,Drifting,192874
2020-10-29 22:27,Leonard Peters,Five Years Ago,166633
2020-10-29 22:33,Ella Fitzgerald,Autumn In New York,356626
2020-10-29 22:37,Little River Band,Reminiscing - Remastered,253080
2020-10-29 22:38,Billy Joel,You're My Home,78925
2020-10-29 22:41,Etta James,At Last,179693
2020-10-29 22:45,Van Morrison,Into the Mystic - 2013 Remaster,205613
2020-10-29 22:49,Joni Mitchell,A Case of You,263480
2020-10-29 22:50,Carly Simon,You're so Vain,61670
2020-10-29 22:53,Seinabo Sey,Still,173209
2020-10-29 22:57,Simon & Garfunkel,The Only Living Boy in New York,238413
2020-10-29 23:00,Ella Fitzgerald,Manhattan,171533
2020-10-29 23:06,Ella Fitzgerald,Autumn In New York,356626
2020-10-29 23:08,Joni Mitchell,A Case of You,138665
2020-10-29 23:14,Harold Danko,A Quiet Dawn,316746
2020-10-29 23:22,David Halliday,Dreamsville,477173
2020-10-30 02:08,Eric Reed,New Morning,377533
2020-10-30 04:23,Taylor Swift,seven,208906
2020-10-30 04:26,Taylor Swift,mirrorball,208977
2020-10-30 04:31,Taylor Swift,betty,294521
2020-10-30 04:35,Taylor Swift,cardigan,239560
2020-10-30 04:39,Taylor Swift,invisible string,252880
2020-10-30 04:41,Taylor Swift,mad woman,114177
2020-10-30 04:46,Taylor Swift,exile (feat. Bon Iver),285634
2020-10-30 04:50,Taylor Swift,august,261922
2020-10-30 04:51,Taylor Swift,peace,56883
2020-10-30 14:31,Emma Stone,Audition (The Fools Who Dream),228266
2020-10-30 14:35,La La Land Cast,Another Day Of Sun,228173
2020-10-30 14:38,John Legend,Start A Fire,192093
2020-10-30 14:40,Justin Hurwitz,Herman’s Habit,111613
2020-10-30 14:41,Justin Hurwitz,The End,46266
2020-10-30 14:43,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",149706
2020-10-30 14:46,Justin Hurwitz,City Of Stars (Humming),162973
2020-10-30 14:50,Justin Hurwitz,Planetarium,257280
2020-10-30 14:52,Ryan Gosling,City Of Stars,111240
2020-10-30 14:53,Emma Stone,Someone In The Crowd,31161
2020-10-30 15:03,Yoko Miwa Trio,Sunshine Follows the Rain,608186
2020-10-30 15:08,Andy Sheppard Quartet,Romaria,311480
2020-10-30 17:13,Renee Rosnes,The Winter of My Discontent,200432
2020-10-30 17:23,Ghosthaus,Peachy,4160
2020-10-30 17:26,Matt Maeson,Hallucinogenics,187173
2020-10-30 17:33,Hozier,Nobody,210573
2020-10-30 17:34,Taylor Swift,All Too Well,47098
2020-10-30 19:14,Ariana Grande,shut up,157710
2020-10-30 19:16,Ariana Grande,34+35,91079
2020-10-30 19:19,Ariana Grande,positions,172324
2020-10-30 19:20,Ariana Grande,obvious,116016
2020-10-30 19:23,Justin Bieber,Mark My Words,134346
2020-10-30 19:26,Justin Bieber,I'll Show You,199946
2020-10-30 19:29,Justin Bieber,What Do You Mean?,205680
2020-10-30 19:33,Justin Bieber,Sorry,200786
2020-10-30 19:35,Justin Bieber,Love Yourself,147869
2020-10-30 19:39,Sara Bareilles,Fire,229627
2020-10-30 19:44,Sara Bareilles,Wicked Love,279464
2020-10-30 19:48,Sara Bareilles,Eyes on You,244265
2020-10-30 19:52,Sara Bareilles,A Safe Place to Land (feat. John Legend),269209
2020-10-30 19:55,Sara Bareilles,Shiny,173054
2020-10-30 19:59,Sara Bareilles,Someone Who Loves Me,197836
2020-10-30 20:03,Sara Bareilles,Orpheus,253395
2020-10-30 20:07,Sara Bareilles,Miss Simone,253141
2020-10-30 20:11,Sara Bareilles,Saint Honesty,265710
2020-10-30 20:15,Taylor Swift,illicit affairs,190898
2020-10-30 20:17,Taylor Swift,I Forgot That You Existed,170640
2020-10-30 20:22,Taylor Swift,august,261922
2020-10-30 20:25,Taylor Swift,Cruel Summer,178426
2020-10-30 20:28,Maggie Rogers,Burning,213173
2020-10-30 20:32,Taylor Swift,seven,208906
2020-10-30 20:59,Phoebe Bridgers,Smoke Signals,324773
2020-10-30 21:03,Phoebe Bridgers,Funeral,232373
